name,address
14th place,"5265 NE 14Th Place, Portland, OR, USA"
1706 n jarret,"1706 N Jarrett, Portland, OR, USA"
328 broadway,"328 NW Broadway Blvd #114, Portland, OR, USA"
3414 se lincoln,"3414 SE Lincoln, Portland, OR, USA"
4903 se 72nd ave,"4903 se 72nd avenue, Portland, OR, USA"
5014 se cesar chavez blvd,"5014 SE Cesar Chavez Blvd, Portland, OR, USA"
ace hotel,"1022 SW Stark St, Portland, OR, USA"
afru gallery,"534 SE Oak Street, Portland, OR, USA"
aladdin theater,"3017 SE Milwaukie Ave, Portland , OR, USA"
alberta abbey,"126 NE Alberta, Portland, OR, USA"
alberta aquarium,"House Show, Portland, OR, USA"
alberta rose theater,"3000 NE Alberta, Portland, OR, USA"
alberta st public house,"1036 NE Alberta, Portland, OR, USA"
alberta st. pub,"1036 NE Alberta, Portland, OR, USA"
alberta street pub,"1036 NE Alberta, Portland, OR, USA"
alhambra theatre,"4811 SE Hawthorne Blvd, Portland, OR, USA"
alleyway,"2415 NE Alberta St., Portland, OR, USA"
al's den,"303 S.W. 12th Ave., Portland, OR, USA"
american legion #134,"2104 NE Alberta St, Portland, OR, USA"
analog cafe,"720 SE Hawthorne, Portland, OR, USA"
anarchy beach,"Swan Island (just south of McDonald's on the beach, Portland, OR, USA"
anarres infoshop,"7101 N Lombard Ave, Portland, OR, USA"
angelos,"4620 SE Hawthonre, Portland, OR, USA"
anna bananas (alberta),"2403 NE Alberta portland, OR, USA"
arlene schnitzer concert hall,"1037 SW Broadway, Portland, OR, USA"
arriverdici,"17023 SE McLoughlin Blvd Milwaukie, OR, USA"
ash st. saloon,"225 SW Ash St.., Portland, OR, USA"
ask a punk,"the streets, Portland, OR, USA"
aura,"1022 West Burnside, Portland, OR, USA"
barracuda,"Nw 2Nd and Couch, Portland, OR, USA"
barrel room,"105 NW 3rd ave portland, OR, USA"
beacon sound (mississippi),"3636 N. Mississippi Ave, Portland, OR, USA"
biddy mcgraw’s,"6000 NE Glisan, Portland, OR, USA"
black forest,"50 E 11th Ave Eugene, OR, USA"
black rose crossfit,"2929 SE Powell st, Portland, OR, USA"
blackwater,"835 NE Broadway, Portland, OR, USA"
blackwells,"1815 NE 41st St., Portland, OR, USA"
bleachers,"575 NW Saltzman Rd, Portland, OR, USA"
bossanova ballroom,"722 E Burnsinde, Portland, OR, USA"
branx,"320 SE 2nd ave, Portland, OR, USA"
brekken's,"Lombard, St. John's, Portland, OR, USA"
brody theater,"16 NW Broadway, Portland, OR, USA"
buffalo gap,"6835 SW Macadam Blvd, Portland, OR, USA"
bull run cider,"2225 Cedar St Forest Grove, OR, USA"
