lat,lng,name,address
45.5613079,-122.650974,14th place,"5265 NE 14Th Place, Portland, OR, USA"
45.5230622,-122.6764816,1706 n jarret,"1706 N Jarrett, Portland, OR, USA"
45.5348571,-122.6631607,328 broadway,"328 NW Broadway Blvd #114, Portland, OR, USA"
45.6481589,-122.682491,3414 se lincoln,"3414 SE Lincoln, Portland, OR, USA"
45.4877803,-122.5895552,4903 se 72nd ave,"4903 se 72nd avenue, Portland, OR, USA"
45.486407,-122.622337,5014 se cesar chavez blvd,"5014 SE Cesar Chavez Blvd, Portland, OR, USA"
45.522011,-122.681617,ace hotel,"1022 SW Stark St, Portland, OR, USA"
45.5199097,-122.6601218,afru gallery,"534 SE Oak Street, Portland, OR, USA"
45.5008089,-122.654546,aladdin theater,"3017 SE Milwaukie Ave, Portland , OR, USA"
45.5588459,-122.6554886,alberta abbey,"126 NE Alberta, Portland, OR, USA"
45.5230622,-122.6764816,alberta aquarium,"House Show, Portland, OR, USA"
45.5588459,-122.6554886,alberta rose theater,"3000 NE Alberta, Portland, OR, USA"
45.5588459,-122.6554886,alberta st public house,"1036 NE Alberta, Portland, OR, USA"
45.5588459,-122.6554886,alberta st. pub,"1036 NE Alberta, Portland, OR, USA"
45.5588459,-122.6554886,alberta street pub,"1036 NE Alberta, Portland, OR, USA"
45.5122526,-122.61278,alhambra theatre,"4811 SE Hawthorne Blvd, Portland, OR, USA"
45.5592116,-122.6405802,alleyway,"2415 NE Alberta St., Portland, OR, USA"
45.5227754,-122.6834318,al's den,"303 S.W. 12th Ave., Portland, OR, USA"
45.5589131,-122.6436918,american legion #134,"2104 NE Alberta St, Portland, OR, USA"
45.5230622,-122.6764816,analog cafe,"720 SE Hawthorne, Portland, OR, USA"
45.5230622,-122.6764816,anarchy beach,"Swan Island (just south of McDonald's on the beach, Portland, OR, USA"
45.58754159999999,-122.7402479,anarres infoshop,"7101 N Lombard Ave, Portland, OR, USA"
45.5230622,-122.6764816,angelos,"4620 SE Hawthonre, Portland, OR, USA"
45.5588459,-122.6554886,anna bananas (alberta),"2403 NE Alberta portland, OR, USA"
45.517052,-122.6812198,arlene schnitzer concert hall,"1037 SW Broadway, Portland, OR, USA"
45.3994964,-122.6200178,arriverdici,"17023 SE McLoughlin Blvd Milwaukie, OR, USA"
45.5223418,-122.6730556,ash st. saloon,"225 SW Ash St.., Portland, OR, USA"
45.3098299,-122.936101,ask a punk,"the streets, Portland, OR, USA"
45.5230622,-122.6764816,aura,"1022 West Burnside, Portland, OR, USA"
45.5230622,-122.6764816,barracuda,"Nw 2Nd and Couch, Portland, OR, USA"
45.5239631,-122.6737674,barrel room,"105 NW 3rd ave portland, OR, USA"
45.5492926,-122.675302,beacon sound (mississippi),"3636 N. Mississippi Ave, Portland, OR, USA"
45.5230622,-122.6764816,biddy mcgraw’s,"6000 NE Glisan, Portland, OR, USA"
44.0474614,-123.091858,black forest,"50 E 11th Ave Eugene, OR, USA"
45.4975428,-122.6349873,black rose crossfit,"2929 SE Powell st, Portland, OR, USA"
45.5352756,-122.6567788,blackwater,"835 NE Broadway, Portland, OR, USA"
45.5358035,-122.6209599,blackwells,"1815 NE 41st St., Portland, OR, USA"
45.5242661,-122.8071236,bleachers,"575 NW Saltzman Rd, Portland, OR, USA"
45.5230622,-122.6764816,bossanova ballroom,"722 E Burnsinde, Portland, OR, USA"
45.5204055,-122.6633598,branx,"320 SE 2nd ave, Portland, OR, USA"
45.5230622,-122.6764816,brekken's,"Lombard, St. John's, Portland, OR, USA"
45.52332860000001,-122.6771178,brody theater,"16 NW Broadway, Portland, OR, USA"
45.474535,-122.671928,buffalo gap,"6835 SW Macadam Blvd, Portland, OR, USA"
45.5231212,-123.1065162,bull run cider,"2225 Cedar St Forest Grove, OR, USA"
45.5153234,-122.6655189,bunk bar,"1028 SE Water Avenue, Portland, OR, USA"
45.4039662,-122.290433,bunsenbrewer,"16506 SE 362nd Dr Sandy, OR, USA"
45.5268119,-122.6819117,camellia lounge,"510 NW 11Th Ave, Portland, OR, USA"
45.5230622,-122.6764816,cathedral park,"Under The St. Johns Bridge (Eastside), Portland, OR, USA"
45.5230622,-122.6764816,centaur guitar,"2833 NE Sandy, Portland, OR, USA"
45.528118,-122.6390505,church bar,"2600 ne Sandy blvd portland , OR, USA"
45.515016,-122.6790935,city hall,"1221 SW 4Th Avenue, Portland, OR, USA"
45.5032295,-122.6398838,clinton street theater,"2522 SE Clinton St, Portland, OR, USA"
45.5267481,-122.6446937,club 21,"2035 NE Glisan St, Portland, OR, USA"
42.18561130000001,-122.6798302,club 66,"1951 Ashland Street Ashland Ashland, OR, USA"
45.5005876,-122.6600552,compound (house venue),"3114 SE Mcloughlin Blvd., Portland, OR, USA"
44.0334436,-123.0919052,corner house,"5432 NE 24th Avenue, Portland, OR, USA"
45.5230622,-122.6764816,crystal ballroom,"1332 W Burnside, Portland, OR, USA"
