name,address
"14th place","5265 Ne 14Th Place Portland"
"1706 n jarret","1706 N Jarrett Portland"
"328 broadway","328 NW Broadway Blvd #114 Portland"
"3414 se lincoln","3414 Se Lincoln Portland"
"4903 se 72nd ave","4903 se 72nd avenue Portland"
"5014 se cesar chavez blvd","5014 SE Cesar Chavez Blvd Portland"
"ace hotel","1022 Sw Stark St Portland"
"afru gallery","534 SE Oak Street Portland"
"aladdin theater","3017 Se Milwaukie Ave Portland "
"alberta abbey","126 NE Alberta Portland"
"alberta aquarium","House Show Portland"
"alberta rose theater","3000 Ne Alberta Portland alberta | NE"
"alberta st public house","1036 NE Alberta Portland"
"alberta st. pub","1036 NE Alberta Portland alberta | NE"
"alberta street pub","1036 NE Alberta Portland"
"alhambra theatre","4811 SE Hawthorne Blvd Portland"
alleyway,"2415 Ne Alberta St. Portland alberta | NE"
"al's den","303 S.W. 12th Ave. Portland"
"american legion #134","2104 NE Alberta St Portland"
"analog cafe","720 SE Hawthorne Portland"
"anarchy beach","Swan Island (just south of McDonald's on the beach Portland"
"anarres infoshop","7101 N Lombard Ave Portland"
angelos,"4620 Se Hawthonre Portland"
"anna bananas (alberta)","2403 NE Alberta portland"
"arlene schnitzer concert hall","1037 SW Broadway Portland"
arriverdici,"17023 SE McLoughlin Blvd Milwaukie"
"ash st. saloon","225 Sw Ash St.. Portland downtown"
"ask a punk","the streets Portland"
aura,"1022 West Burnside Portland"
barracuda,"Nw 2Nd and Couch Portland"
"barrel room","105 NW 3rd ave portland"
"beacon sound (mississippi)","3636 N. Mississippi Ave Portland"
"biddy mcgraw’s","6000 NE Glisan Portland"
"black forest","50 E 11th Ave Eugene"
"black rose crossfit","2929 SE Powell st Portland"
blackwater,"835 NE Broadway Portland"
blackwells,"1815 NE 41st St. Portland"
bleachers,"575 NW Saltzman Rd Portland"
"bossanova ballroom","722 E Burnsinde Portland"
branx,"320 SE 2nd ave Portland industrial district"
brekken's,"Lombard, St. John's Portland"
"brody theater","16 NW Broadway Portland"
"buffalo gap","6835 Sw Macadam Blvd Portland"
"bull run cider","2225 Cedar St Forest Grove"
"bunk bar","1028 SE Water Avenue Portland"
bunsenbrewer,"16506 SE 362nd Dr Sandy"
"camellia lounge","510 Nw 11Th Ave Portland"
"cathedral park","Under The St. Johns Bridge (Eastside) Portland"
"centaur guitar","2833 Ne Sandy Portland"
"church bar","2600 ne Sandy blvd portland "
"city hall","1221 Sw 4Th Avenue Portland"
"clinton street theater","2522 SE Clinton St Portland se|clinton"
"club 21","2035 Ne Glisan St Portland"
"club 66","1951 Ashland Street Ashland Ashland"
"compound (house venue)","3114 Se Mcloughlin Blvd. Portland"
"corner house","5432 NE 24th Avenue Portland"
"crystal ballroom","1332 W Burnside Portland"
dante's,"350 West Burnside Street Portland"
darkplace,"ask a punk portland"
"devils point","5305 Se Foster Rd. Portland"
"dig a pony","736 SE Grand Portland"
disjecta,"8371 N. Interstate Portland"
dollhouse,"1907 Se Haig Portland"
"double treble","6526 SE Foster Rd Portland"
"doug fir","830 E Burnside Portland east-side | inner"
"dublin pub","6821 Beaverton Hillsdale Hwy Portland"
ducketts,"825 N Killingsworth St. Portland NE | Cascadia"
"duffs garage","2530 NE 82nd Ave Portland"
"eagles lodge","4904 Se Hawthorne Blvd Portland"
edgefield,"2126 Sw Halsey Portland Way Far East | Tualitin"
"ex novo brewery","2326 N Flint Ave Portland"
falsefront,"4518 NE 32nd Avenue Portland"
"fish bowl","6321 N. Bowdoin St. Portland"
"foggy notion","3416 N. Lombard Portland"
"food fight!","1217 Se Stark Portland"
"get happy studios","2119 N Kerby Ave Portland"
glitterdome,"4317 NE Grand Ave. Portland"
goodfoot,"2845 Se Stark Portland"
"green roots cafe","1825 SW Broadway, Rm 26 Portland"
"ground kontrol","511 Nw Couch Portland"
habesha,"801 NE BROADWAY PORTLAND"
"hawthorne lounge","3900 SE Hawthorne Portland"
"hawthorne theater","1507 Se 39Th Ave Portland"
"hawthorne theatre club lounge","1507 Se 39Th Ave Portland "
"heretic house","5216 N Albina Ave Portland"
"high water mark","6800 NE MLK Portland"
"hollywood theatre","4122 Se Sandy Blvd Portland"
"hollywood's hot rod bar and grill","10810 NE Sandy Blvd Portland"
holocene,"1001 Se Morrison St Portland"
"human flesh body world / pearadise / 40hoz","fremont & williams /// ask ne portland"
"itat2to organics and the wicked vegan","3909 Main St Vancouver"
"jade lounge","2342 SE Ankeny Portland"
"jimmy maks","300 Nw 10Th Ave Portland"
"katie o' brien's","2809 NE Sandy Portland NE"
"keen ""great room"" nw","NW 13th and Lovejoy Portland"
"keller auditorium","222 Sw Clay Portland"
"kelly's olympian","426 SW Washington St. Portland"
"kennedy school","5736 Ne 33Rd Ave Portland"
"kenton club","2025 N Kilpatrick Portland kenton | NoPo"
"killingsworth dynasty","832 N Killingsworth Portland"
know,"2026 Ne Alberta Street Portland NE | Alberta"
